Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																												
Республики Беларусь ежедневно, за период с 01.01.2011 по 31.12.2011																												
																												
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 канадский доллар (CAD)	1 китайский юань (CNY)	1 крона (EEK)	1 кувейтский динар (KWD)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 турецкая лира (TRY)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	10 иен (JPY)	1000 иранских риалов (IRR)
13.11.2011	 8 988,50 	 6 177,36 	 1 103,42 	 1 623,14 	 8 850,00 	 12 070,00 	 2 733,51 	 76,01 	 8 675,19 	 1 395,46 		 32 071,03 	 17 227,95 	 3 499,41 	 756,44 	 1 559,13 	 290,00 	 13 872,99 	 6 865,25 	 193,42 	 59,74 	 4 972,33 	 14 092,30 	 471,36 	 1 329,27 	 9 768,21 	 1 144,08 	 814,02 
14.11.2011	 8 988,50 	 6 177,36 	 1 103,42 	 1 623,14 	 8 850,00 	 12 070,00 	 2 733,51 	 76,01 	 8 675,19 	 1 395,46 		 32 071,03 	 17 227,95 	 3 499,41 	 756,44 	 1 559,13 	 290,00 	 13 872,99 	 6 865,25 	 193,42 	 59,74 	 4 972,33 	 14 092,30 	 471,36 	 1 329,27 	 9 768,21 	 1 144,08 	 814,02 
15.11.2011	 9 001,97 	 6 147,48 	 1 093,99 	 1 615,46 	 8 770,00 	 12 070,00 	 2 732,26 	 75,67 	 8 625,52 	 1 380,28 		 31 850,37 	 17 150,68 	 3 482,51 	 750,21 	 1 553,34 	 290,00 	 13 766,62 	 6 821,19 	 190,54 	 59,18 	 4 926,97 	 14 027,18 	 466,32 	 1 323,13 	 9 717,45 	 1 138,07 	 809,23 
16.11.2011	 8 923,37 	 6 086,71 	 1 091,93 	 1 599,28 	 8 760,00 	 11 930,00 	 2 700,74 	 75,02 	 8 594,55 	 1 380,11 		 31 840,07 	 16 998,16 	 3 447,60 	 747,84 	 1 528,21 	 286,00 	 13 771,51 	 6 787,01 	 190,32 	 59,10 	 4 902,07 	 13 935,85 	 462,11 	 1 303,49 	 9 596,84 	 1 138,18 	 807,37 
17.11.2011	 8 875,19 	 6 042,63 	 1 092,20 	 1 587,93 	 8 760,00 	 11 800,00 	 2 672,61 	 74,44 	 8 548,01 	 1 380,64 		 31 721,89 	 16 872,11 	 3 422,41 	 746,01 	 1 518,50 	 284,00 	 13 717,90 	 6 777,56 	 190,32 	 59,21 	 4 863,15 	 13 835,11 	 458,98 	 1 295,05 	 9 534,18 	 1 138,18 	 802,31 
18.11.2011	 8 829,20 	 6 038,67 	 1 092,07 	 1 586,81 	 8 760,00 	 11 820,00 	 2 662,98 	 74,44 	 8 558,45 	 1 379,17 		 31 710,41 	 16 821,89 	 3 420,41 	 745,06 	 1 514,00 	 285,00 	 13 683,30 	 6 777,56 	 190,32 	 59,16 	 4 853,19 	 13 792,18 	 460,18 	 1 290,53 	 9 499,54 	 1 138,33 	 802,31 
19.11.2011	 8 729,95 	 6 026,34 	 1 089,74 	 1 583,78 	 8 740,00 	 11 820,00 	 2 656,58 	 74,14 	 8 491,21 	 1 374,89 		 31 638,01 	 16 760,96 	 3 414,20 	 743,36 	 1 504,74 	 283,00 	 13 649,35 	 6 733,44 	 189,89 	 59,06 	 4 806,16 	 13 793,03 	 460,74 	 1 286,63 	 9 518,62 	 1 137,65 	 805,16 
20.11.2011	 8 729,95 	 6 026,34 	 1 089,74 	 1 583,78 	 8 740,00 	 11 820,00 	 2 656,58 	 74,14 	 8 491,21 	 1 374,89 		 31 638,01 	 16 760,96 	 3 414,20 	 743,36 	 1 504,74 	 283,00 	 13 649,35 	 6 733,44 	 189,89 	 59,06 	 4 806,16 	 13 793,03 	 460,74 	 1 286,63 	 9 518,62 	 1 137,65 	 805,16 
21.11.2011	 8 729,95 	 6 026,34 	 1 089,74 	 1 583,78 	 8 740,00 	 11 820,00 	 2 656,58 	 74,14 	 8 491,21 	 1 374,89 		 31 638,01 	 16 760,96 	 3 414,20 	 743,36 	 1 504,74 	 283,00 	 13 649,35 	 6 733,44 	 189,89 	 59,06 	 4 806,16 	 13 793,03 	 460,74 	 1 286,63 	 9 518,62 	 1 137,65 	 805,16 
22.11.2011	 8 647,19 	 5 998,07 	 1 089,12 	 1 575,93 	 8 720,00 	 11 790,00 	 2 646,03 	 73,62 	 8 449,61 	 1 370,67 		 31 565,61 	 16 674,63 	 3 397,36 	 743,71 	 1 498,35 	 282,00 	 13 683,60 	 6 705,63 	 186,89 	 58,97 	 4 737,97 	 13 693,45 	 459,18 	 1 280,33 	 9 475,17 	 1 135,64 	 799,82 
23.11.2011	 8 613,18 	 6 028,34 	 1 091,57 	 1 583,97 	 8 720,00 	 11 790,00 	 2 651,14 	 73,84 	 8 401,18 	 1 370,86 		 31 559,90 	 16 709,78 	 3 414,85 	 741,97 	 1 505,49 	 281,00 	 13 603,55 	 6 701,25 	 186,89 	 59,10 	 4 728,85 	 13 654,21 	 460,61 	 1 281,66 	 9 535,27 	 1 131,95 	 798,53 
24.11.2011	 8 510,72 	 5 998,49 	 1 090,00 	 1 576,53 	 8 720,00 	 11 740,00 	 2 621,02 	 73,47 	 8 371,74 	 1 371,42 		 31 539,35 	 16 620,60 	 3 397,29 	 736,42 	 1 502,05 	 279,00 	 13 641,48 	 6 680,97 	 186,89 	 59,20 	 4 688,93 	 13 575,30 	 458,48 	 1 271,37 	 9 534,74 	 1 132,39 	 799,67 
25.11.2011	 8 484,12 	 5 958,93 	 1 091,16 	 1 567,37 	 8 720,00 	 11 670,00 	 2 596,67 	 73,09 	 8 327,76 	 1 370,36 		 31 500,61 	 16 653,93 	 3 375,66 	 731,30 	 1 490,84 	 277,00 	 13 570,15 	 6 663,36 	 186,89 	 59,23 	 4 670,09 	 13 535,62 	 453,42 	 1 262,47 	 9 484,96 	 1 129,90 	 798,72 
26.11.2011	 8 415,54 	 5 897,56 	 1 081,69 	 1 551,16 	 8 670,00 	 11 530,00 	 2 559,18 	 72,25 	 8 274,48 	 1 358,60 		 31 248,87 	 16 531,60 	 3 340,78 	 725,52 	 1 471,42 	 275,00 	 13 492,34 	 6 599,93 	 185,81 	 58,90 	 4 617,84 	 13 425,06 	 445,16 	 1 245,20 	 9 395,32 	 1 121,02 	 794,14 
27.11.2011	 8 415,54 	 5 897,56 	 1 081,69 	 1 551,16 	 8 670,00 	 11 530,00 	 2 559,18 	 72,25 	 8 274,48 	 1 358,60 		 31 248,87 	 16 531,60 	 3 340,78 	 725,52 	 1 471,42 	 275,00 	 13 492,34 	 6 599,93 	 185,81 	 58,90 	 4 617,84 	 13 425,06 	 445,16 	 1 245,20 	 9 395,32 	 1 121,02 	 794,14 
28.11.2011	 8 415,54 	 5 897,56 	 1 081,69 	 1 551,16 	 8 670,00 	 11 530,00 	 2 559,18 	 72,25 	 8 274,48 	 1 358,60 		 31 248,87 	 16 531,60 	 3 340,78 	 725,52 	 1 471,42 	 275,00 	 13 492,34 	 6 599,93 	 185,81 	 58,90 	 4 617,84 	 13 425,06 	 445,16 	 1 245,20 	 9 395,32 	 1 121,02 	 794,14 
29.11.2011	 8 504,78 	 5 875,95 	 1 078,92 	 1 545,29 	 8 640,00 	 11 470,00 	 2 545,41 	 71,93 	 8 312,09 	 1 352,79 		 31 166,58 	 16 461,85 	 3 328,45 	 723,01 	 1 466,77 	 275,00 	 13 445,65 	 6 619,17 	 184,97 	 58,57 	 4 617,85 	 13 378,18 	 442,94 	 1 240,38 	 9 310,34 	 1 111,54 	 792,48 
30.11.2011	 8 549,69 	 5 861,50 	 1 072,52 	 1 541,40 	 8 600,00 	 11 480,00 	 2 536,84 	 71,78 	 8 315,20 	 1 348,78 		 31 030,13 	 16 457,76 	 3 320,72 	 724,39 	 1 459,33 	 275,00 	 13 364,57 	 6 615,64 	 184,11 	 58,23 	 4 626,14 	 13 335,59 	 446,50 	 1 236,35 	 9 320,47 	 1 103,55 	 790,99 
01.12.2011	 8 574,11 	 5 834,01 	 1 071,14 	 1 534,30 	 8 590,00 	 11 410,00 	 2 510,89 	 71,58 	 8 308,35 	 1 347,42 		 30 972,81 	 16 332,35 	 3 304,74 	 723,55 	 1 464,91 	 274,00 	 13 353,24 	 6 622,47 	 183,90 	 58,15 	 4 628,23 	 13 361,32 	 445,08 	 1 240,89 	 9 310,14 	 1 101,28 	 789,70 
02.12.2011	 8 749,45 	 5 904,01 	 1 070,29 	 1 553,43 	 8 580,00 	 11 540,00 	 2 562,61 	 72,25 	 8 414,24 	 1 347,26 		 30 991,51 	 16 539,76 	 3 344,51 	 727,12 	 1 485,48 	 278,00 	 13 312,38 	 6 674,45 	 183,68 	 58,12 	 4 676,51 	 13 446,15 	 455,40 	 1 265,45 	 9 407,38 	 1 105,24 	 788,78 
03.12.2011	 8 794,07 	 5 910,72 	 1 071,43 	 1 555,12 	 8 580,00 	 11 540,00 	 2 583,71 	 72,40 	 8 469,89 	 1 348,99 		 30 998,23 	 16 571,70 	 3 347,84 	 727,12 	 1 481,99 	 278,00 	 13 388,23 	 6 678,86 	 183,68 	 58,11 	 4 694,94 	 13 471,89 	 457,88 	 1 270,18 	 9 367,83 	 1 102,90 	 787,88 
04.12.2011	 8 794,07 	 5 910,72 	 1 071,43 	 1 555,12 	 8 580,00 	 11 540,00 	 2 583,71 	 72,40 	 8 469,89 	 1 348,99 		 30 998,23 	 16 571,70 	 3 347,84 	 727,12 	 1 481,99 	 278,00 	 13 388,23 	 6 678,86 	 183,68 	 58,11 	 4 694,94 	 13 471,89 	 457,88 	 1 270,18 	 9 367,83 	 1 102,90 	 787,88 
05.12.2011	 8 794,07 	 5 910,72 	 1 071,43 	 1 555,12 	 8 580,00 	 11 540,00 	 2 583,71 	 72,40 	 8 469,89 	 1 348,99 		 30 998,23 	 16 571,70 	 3 347,84 	 727,12 	 1 481,99 	 278,00 	 13 388,23 	 6 678,86 	 183,68 	 58,11 	 4 694,94 	 13 471,89 	 457,88 	 1 270,18 	 9 367,83 	 1 102,90 	 787,88 
06.12.2011	 8 755,60 	 5 877,71 	 1 068,93 	 1 546,13 	 8 560,00 	 11 500,00 	 2 570,26 	 72,01 	 8 413,19 	 1 345,07 		 30 885,80 	 16 475,80 	 3 329,38 	 726,35 	 1 482,64 	 277,00 	 13 356,51 	 6 671,34 	 183,21 	 57,97 	 4 677,60 	 13 380,14 	 456,61 	 1 270,50 	 9 303,34 	 1 098,07 	 785,86 
07.12.2011	 8 732,48 	 5 853,99 	 1 067,27 	 1 539,68 	 8 560,00 	 11 420,00 	 2 565,56 	 71,89 	 8 411,54 	 1 344,91 		 30 891,37 	 16 414,19 	 3 316,29 	 726,35 	 1 480,35 	 275,00 	 13 328,35 	 6 659,92 	 183,21 	 57,98 	 4 649,65 	 13 378,00 	 454,52 	 1 263,24 	 9 219,17 	 1 100,47 	 785,32 
08.12.2011	 8 795,81 	 5 877,10 	 1 066,42 	 1 546,00 	 8 550,00 	 11 500,00 	 2 573,67 	 72,06 	 8 480,04 	 1 343,27 		 30 905,48 	 16 475,58 	 3 328,86 	 725,50 	 1 491,13 	 274,00 	 13 303,29 	 6 672,13 	 183,00 	 57,92 	 4 677,24 	 13 344,41 	 456,34 	 1 272,55 	 9 255,75 	 1 100,53 	 784,04 
09.12.2011	 8 806,53 	 5 873,88 	 1 069,20 	 1 545,18 	 8 560,00 	 11 490,00 	 2 571,00 	 72,17 	 8 484,07 	 1 345,33 		 30 921,50 	 16 459,96 	 3 327,63 	 726,35 	 1 492,38 	 274,00 	 13 306,86 	 6 645,96 	 183,21 	 57,97 	 4 677,60 	 13 437,06 	 454,74 	 1 273,54 	 9 279,13 	 1 103,16 	 785,32 
10.12.2011	 8 606,48 	 5 805,40 	 1 063,94 	 1 527,26 	 8 520,00 	 11 320,00 	 2 516,24 	 71,49 	 8 330,48 	 1 338,70 		 30 741,48 	 16 267,30 	 3 288,18 	 724,34 	 1 471,43 	 270,00 	 13 265,73 	 6 550,32 	 182,36 	 57,63 	 4 604,66 	 13 326,56 	 444,02 	 1 253,96 	 9 199,37 	 1 096,95 	 781,29 
11.12.2011	 8 606,48 	 5 805,40 	 1 063,94 	 1 527,26 	 8 520,00 	 11 320,00 	 2 516,24 	 71,49 	 8 330,48 	 1 338,70 		 30 741,48 	 16 267,30 	 3 288,18 	 724,34 	 1 471,43 	 270,00 	 13 265,73 	 6 550,32 	 182,36 	 57,63 	 4 604,66 	 13 326,56 	 444,02 	 1 253,96 	 9 199,37 	 1 096,95 	 781,29 
12.12.2011	 8 606,48 	 5 805,40 	 1 063,94 	 1 527,26 	 8 520,00 	 11 320,00 	 2 516,24 	 71,49 	 8 330,48 	 1 338,70 		 30 741,48 	 16 267,30 	 3 288,18 	 724,34 	 1 471,43 	 270,00 	 13 265,73 	 6 550,32 	 182,36 	 57,63 	 4 604,66 	 13 326,56 	 444,02 	 1 253,96 	 9 199,37 	 1 096,95 	 781,29 
13.12.2011	 8 622,40 	 5 786,45 	 1 061,50 	 1 522,14 	 8 500,00 	 11 310,00 	 2 506,49 	 71,18 	 8 310,93 	 1 336,20 		 30 669,31 	 16 216,73 	 3 277,80 	 724,95 	 1 469,29 	 271,00 	 13 236,88 	 6 560,67 	 182,46 	 57,49 	 4 609,54 	 13 235,77 	 445,35 	 1 252,04 	 9 161,46 	 1 094,51 	 774,66 
14.12.2011	 8 555,18 	 5 710,43 	 1 055,72 	 1 501,92 	 8 460,00 	 11 150,00 	 2 458,87 	 70,38 	 8 252,85 	 1 329,04 		 30 473,31 	 15 998,49 	 3 235,00 	 715,21 	 1 450,94 	 267,00 	 13 107,25 	 6 501,69 	 181,60 	 57,19 	 4 538,14 	 13 206,48 	 435,57 	 1 232,61 	 9 037,98 	 1 088,59 	 775,79 
15.12.2011	 8 457,18 	 5 627,89 	 1 055,19 	 1 480,61 	 8 450,00 	 11 010,00 	 2 407,51 	 69,58 	 8 167,01 	 1 326,27 		 30 362,92 	 15 779,65 	 3 187,84 	 711,61 	 1 423,84 	 266,00 	 13 077,39 	 6 474,60 	 181,39 	 57,10 	 4 487,52 	 13 108,06 	 428,73 	 1 211,28 	 8 930,93 	 1 083,54 	 767,31 
16.12.2011	 8 387,89 	 5 628,27 	 1 053,81 	 1 481,27 	 8 450,00 	 10 990,00 	 2 421,79 	 69,33 	 8 157,16 	 1 325,84 		 30 355,28 	 15 779,65 	 3 188,38 	 712,48 	 1 414,96 	 265,00 	 12 984,10 	 6 457,28 	 181,39 	 57,04 	 4 499,47 	 13 079,33 	 430,22 	 1 210,87 	 8 919,15 	 1 083,68 	 767,31 
17.12.2011	 8 430,14 	 5 621,90 	 1 052,37 	 1 479,41 	 8 450,00 	 11 000,00 	 2 438,29 	 69,06 	 8 184,02 	 1 331,04 		 30 352,01 	 15 761,98 	 3 184,59 	 712,43 	 1 411,60 	 266,00 	 12 985,03 	 6 477,83 	 181,39 	 57,01 	 4 499,47 	 13 102,99 	 433,40 	 1 213,58 	 8 977,42 	 1 084,31 	 767,48 
18.12.2011	 8 430,14 	 5 621,90 	 1 052,37 	 1 479,41 	 8 450,00 	 11 000,00 	 2 438,29 	 69,06 	 8 184,02 	 1 331,04 		 30 352,01 	 15 761,98 	 3 184,59 	 712,43 	 1 411,60 	 266,00 	 12 985,03 	 6 477,83 	 181,39 	 57,01 	 4 499,47 	 13 102,99 	 433,40 	 1 213,58 	 8 977,42 	 1 084,31 	 767,48 
19.12.2011	 8 430,14 	 5 621,90 	 1 052,37 	 1 479,41 	 8 450,00 	 11 000,00 	 2 438,29 	 69,06 	 8 184,02 	 1 331,04 		 30 352,01 	 15 761,98 	 3 184,59 	 712,43 	 1 411,60 	 266,00 	 12 985,03 	 6 477,83 	 181,39 	 57,01 	 4 499,47 	 13 102,99 	 433,40 	 1 213,58 	 8 977,42 	 1 084,31 	 767,48 
20.12.2011	 8 407,12 	 5 635,12 	 1 056,31 	 1 482,95 	 8 460,00 	 11 010,00 	 2 455,52 	 69,12 	 8 154,22 	 1 334,85 		 30 398,85 	 15 807,17 	 3 191,97 	 715,68 	 1 418,39 	 264,00 	 13 018,59 	 6 481,27 	 181,30 	 57,08 	 4 489,25 	 13 111,31 	 435,79 	 1 222,70 	 9 027,85 	 1 086,71 	 768,04 
21.12.2011	 8 392,07 	 5 610,46 	 1 052,63 	 1 476,15 	 8 430,00 	 10 970,00 	 2 453,29 	 68,76 	 8 144,93 	 1 328,27 		 30 269,30 	 15 743,77 	 3 177,83 	 715,47 	 1 419,65 	 263,00 	 12 965,68 	 6 450,87 	 180,66 	 56,86 	 4 432,18 	 13 118,34 	 432,55 	 1 217,99 	 8 989,60 	 1 081,39 	 764,45 
22.12.2011	 8 576,94 	 5 646,00 	 1 050,20 	 1 485,62 	 8 410,00 	 11 030,00 	 2 486,95 	 68,98 	 8 217,71 	 1 326,69 		 30 208,33 	 15 854,46 	 3 198,57 	 715,09 	 1 433,56 	 265,00 	 12 965,70 	 6 512,31 	 180,23 	 56,89 	 4 482,94 	 13 231,87 	 433,48 	 1 232,94 	 9 061,04 	 1 081,32 	 760,91 
23.12.2011	 8 505,36 	 5 625,40 	 1 045,42 	 1 480,07 	 8 390,00 	 10 970,00 	 2 475,40 	 68,62 	 8 197,36 	 1 323,45 		 30 166,29 	 15 798,89 	 3 186,30 	 713,44 	 1 422,88 	 266,00 	 12 946,94 	 6 486,28 	 179,80 	 56,60 	 4 458,02 	 13 192,02 	 430,51 	 1 224,79 	 9 011,82 	 1 075,43 	 757,39 
24.12.2011	 8 524,14 	 5 604,23 	 1 043,65 	 1 474,56 	 8 380,00 	 10 960,00 	 2 469,79 	 68,46 	 8 226,98 	 1 321,68 		 30 119,51 	 15 740,05 	 3 174,48 	 713,87 	 1 412,44 	 268,00 	 12 913,92 	 6 490,34 	 179,58 	 56,57 	 4 436,21 	 13 155,34 	 427,20 	 1 223,55 	 8 972,16 	 1 073,81 	 760,95 
25.12.2011	 8 524,14 	 5 604,23 	 1 043,65 	 1 474,56 	 8 380,00 	 10 960,00 	 2 469,79 	 68,46 	 8 226,98 	 1 321,68 		 30 119,51 	 15 740,05 	 3 174,48 	 713,87 	 1 412,44 	 268,00 	 12 913,92 	 6 490,34 	 179,58 	 56,57 	 4 436,21 	 13 155,34 	 427,20 	 1 223,55 	 8 972,16 	 1 073,81 	 760,95 
26.12.2011	 8 524,14 	 5 604,23 	 1 043,65 	 1 474,56 	 8 380,00 	 10 960,00 	 2 469,79 	 68,46 	 8 226,98 	 1 321,68 		 30 119,51 	 15 740,05 	 3 174,48 	 713,87 	 1 412,44 	 268,00 	 12 913,92 	 6 490,34 	 179,58 	 56,57 	 4 436,21 	 13 155,34 	 427,20 	 1 223,55 	 8 972,16 	 1 073,81 	 760,95 
27.12.2011	 8 519,11 	 5 597,86 	 1 044,24 	 1 472,84 	 8 380,00 	 10 960,00 	 2 466,34 	 68,46 	 8 219,72 	 1 326,16 		 30 089,77 	 15 713,48 	 3 171,00 	 711,83 	 1 405,33 	 268,00 	 12 919,86 	 6 486,57 	 179,72 	 56,59 	 4 429,18 	 13 097,52 	 423,85 	 1 219,10 	 8 959,69 	 1 073,81 	 752,08 
28.12.2011	 8 493,34 	 5 587,11 	 1 041,81 	 1 470,12 	 8 360,00 	 10 930,00 	 2 466,73 	 68,27 	 8 193,67 	 1 322,31 		 30 044,38 	 15 692,16 	 3 165,11 	 711,04 	 1 402,78 	 269,00 	 12 889,03 	 6 449,37 	 179,29 	 56,36 	 4 419,77 	 13 097,19 	 423,65 	 1 221,44 	 8 940,22 	 1 072,90 	 750,28 
29.12.2011	 8 517,01 	 5 600,29 	 1 044,43 	 1 473,39 	 8 380,00 	 10 950,00 	 2 491,86 	 68,47 	 8 222,14 	 1 325,53 		 30 116,26 	 15 707,59 	 3 171,84 	 715,22 	 1 406,96 	 265,00 	 12 925,40 	 6 459,32 	 179,72 	 56,49 	 4 415,17 	 13 131,88 	 424,52 	 1 224,79 	 8 967,84 	 1 077,54 	 750,06 
30.12.2011	 8 423,06 	 5 514,65 	 1 039,85 	 1 450,76 	 8 350,00 	 10 800,00 	 2 450,91 	 67,61 	 8 158,28 	 1 321,40 		 29 959,46 	 15 444,37 	 3 123,71 	 714,09 	 1 384,34 	 261,00 	 12 880,46 	 6 410,99 	 179,07 	 56,37 	 4 360,31 	 12 904,51 	 418,12 	 1 205,37 	 8 846,28 	 1 074,44 	 747,54 
31.12.2011	 8 423,06 	 5 514,65 	 1 039,85 	 1 450,76 	 8 350,00 	 10 800,00 	 2 450,91 	 67,61 	 8 158,28 	 1 321,40 		 29 959,46 	 15 444,37 	 3 123,71 	 714,09 	 1 384,34 	 261,00 	 12 880,46 	 6 410,99 	 179,07 	 56,37 	 4 360,31 	 12 904,51 	 418,12 	 1 205,37 	 8 846,28 	 1 074,44 	 747,54 
